Decile,OLS,Weighted_Linear_Regression,Huber,ElasticNet,PCR,PLS,Spline_ElasticNet,Neural_Network,Gradient_Boosting,Random_Forest
1,3.3322059798154227,3.363467260786274,3.3314137355205884,3.12959280401454,3.3322059798154227,3.1938002266431726,3.283717183417334,3.2311633578188963,3.000898267034272,3.0139035139048387
2,4.864902842101805,4.961779153259489,4.878634139190307,4.403806889153824,4.864902842101805,4.424235469824272,4.54309368081515,5.066868277646159,4.730043881453661,4.084343752161968
3,5.058148479614379,5.02982962847495,4.924144344824481,5.017363787296855,5.058148479614379,5.203137656976451,4.813230263619379,5.117548889256502,5.0592982533588255,4.71316840188346
4,6.739638342829936,6.763645187291208,6.941428012470772,5.772162422466669,6.739638342829936,6.653045101196263,6.401168741020279,6.331732467246629,5.55023666251956,5.984632393671757
5,6.319577258947851,6.089754051727049,5.935341547865971,6.214721625096457,6.319577258947851,5.795782920733233,6.792685577604351,5.875826706652484,5.486456670890102,6.154393194971277
6,7.9918617788804,7.977455642420127,8.28977267520364,6.492210755719019,7.9918617788804,8.205859016971425,6.992695240978333,7.544692485821659,7.108938463589599,5.588459953836003
7,8.551059933046066,7.73530286878683,8.603485702303528,7.91315510506611,8.551059933046066,7.6086297518818515,8.14296951499677,7.8490354767289885,6.767890512852392,7.245651488971576
8,7.926168539591408,8.409686529598531,8.102927650340586,8.420965313923837,7.926168539591408,8.708511124923914,8.401050007522194,8.969139534484448,7.527210280872213,7.5164485362058855
9,9.380449790956403,9.381903392697753,9.764867093159447,9.719954112265702,9.380449790956403,9.617475663977375,9.332265366444437,9.646621375418267,8.317350127217534,8.733404210925906
10,8.770623765017211,8.729272703423115,8.455282111435164,8.651071861505919,8.770623765017211,8.729272703423115,7.974428928988444,8.51524559233872,8.22070916776525,7.477644116735462
